id,source_table,unit,skill_code,question,choice_a,choice_b,choice_c,choice_d,answer,explanation,difficulty,quiz_id,video_id,status,quality_note,new_question,new_choice_a,new_choice_b,new_choice_c,new_choice_d,new_answer,new_explanation
1131f20f-f9f1-49e3-aa73-12d8584c6498,question_bank_items,酸鹼中和,NE01,酸與鹼作用生成鹽和水，稱為什麼反應？,中和反應,化合反應,核反應,光合作用,A,酸＋鹼→鹽＋水，為中和反應。,基礎,,,keep,,,,,,,,
1b85e877-4416-4307-b21a-0969f896a55c,question_bank_items,酸鹼中和,NE01,下列何者為中和反應的典型產物組合？,鹽與水,只有氫氣,只有氧氣,只有二氧化碳,A,酸鹼中和主要生成鹽與水。,進階,,,keep,,,,,,,,
660fcd71-228a-4012-a9a6-3d46da1a8f79,question_bank_items,酸鹼中和,NE02,強酸與強鹼中和後，若當量點且生成氯化鈉水溶液，溶液可能呈現？,中性（約 pH 7，25℃）,必為強酸性,必為強鹼性,必為 pH 0,A,強酸強鹼生成強酸強鹼鹽溶液常近似中性。,基礎,,,keep,,,,,,,,
573cee53-b75e-4c75-aa43-fea511805e3c,question_bank_items,酸鹼中和,NE02,弱酸與強鹼達當量點時，溶液性質下列敘述何者較常成立？,可能呈鹼性（共轭鹼水解）,必為中性,必為 pH=0,必無離子,A,弱酸鹽可能水解使溶液呈鹼性，需依題意判斷。,進階,,,keep,,,,,,,,
49dcad10-61e0-4553-8526-646aa77703f2,question_bank_items,酸鹼中和,NE03,下列何者屬於酸與鹼的中和反應？,硝酸與氫氧化鉀生成鹽與水,鐵生鏽,水蒸發,碘昇華,A,酸與鹼生成鹽與水。,基礎,,,keep,,,,,,,,
fa624f27-4aae-43ba-8316-9b1960b2e755,question_bank_items,酸鹼中和,NE03,下列何者「不屬於」酸與鹼的中和？,鋅與稀硫酸反應產生氫氣,鹽酸與氫氧化鈉,硫酸與氫氧化鋇,醋酸與氫氧化鈉,A,金屬與酸反應屬氧化還原，非酸鹼中和。,進階,,,keep,,,,,,,,
da0ecd71-6e8f-47ee-92c9-d24c0e8c8a0c,question_bank_items,酸鹼中和,NE04,中和反應的簡單分析中，若酸與鹼為「同當量」的強酸強鹼，產物水溶液可能？,接近中性,必為強酸性,必為 pH=14,必無水生成,A,強酸強鹼當量中和常接近中性。,基礎,,,keep,,,,,,,,
1ce682bc-066a-426a-80f9-154a7aebfe55,question_bank_items,酸鹼中和,NE04,以滴定曲線判斷當量點附近 pH 突變，主要用於什麼？,估算酸鹼反應的當量關係,測量金屬密度,測量光速,測量聲速,A,滴定曲線可協助判斷當量點。,進階,,,keep,,,,,,,,
aa56d860-e14e-4dd7-9d62-c094cff558d6,question_bank_items,酸鹼中和,NE05,胃藥中常見抗酸劑的作用與下列何者最有關？,中和過多胃酸,增加胃酸,使胃完全無酸,與酸無關,A,抗酸劑可中和部分胃酸舒緩不適。,基礎,,,keep,,,,,,,,
79434fb3-d1ac-4c5f-b773-e96fe475d802,question_bank_items,酸鹼中和,NE05,被蚊蟲叮咬後塗抹弱鹼性藥膏，主要利用什麼概念？,中和酸性分泌物,增加酸性,使皮膚完全乾燥,與中和無關,A,弱鹼可中和蟻酸等酸性物質。,進階,,,keep,,,,,,,,
6361bd97-63f9-4baa-8d8b-574af16d9042,quiz_questions,acid_base,EL01,下列何者最適合描述「電解質」在水溶液中的主要特徵？,溶於水後可導電的物質,不溶於水的物質,必為金屬單質,必為非金屬單質,A,電解質溶於水可產生可自由移動的離子，因而能導電。,基礎,7b0a5355-4683-4879-886e-b83d98fd9969,a5ffefbc-fe00-4374-a5f3-9406525929e1,keep,,,,,,,,
bbc452ec-020d-41bb-8fde-86532224bec8,quiz_questions,acid_base,NE04,欲由已知濃度的酸（鹼）進行滴定計算，下列何者概念最重要？,酸鹼當量關係與莫耳數對應,僅觀察顏色即可,溶液體積必須相等,溫度必須為 100℃,A,滴定計算常用莫耳數或當量關係建立方程式。,進階,f11e2936-6665-4e42-99f7-d03f5e907881,5ecb5aea-bb49-45ee-b0b9-9b3ca395d2c6,keep,,,,,,,,
989b51c8-d76a-4ece-83fe-44eb18005cad,quiz_questions,acid_base,EL01,下列何者最適合描述「電解質」在水溶液中的主要特徵？,溶於水後可導電的物質,不溶於水的物質,必為金屬單質,必為非金屬單質,A,電解質溶於水可產生可自由移動的離子，因而能導電。,基礎,605598cb-6e43-4fe4-8172-a098ecf744a3,d4c8635b-8a8c-47a4-b867-9c366f4f7533,keep,,,,,,,,
014effe9-8271-4dd9-ac37-76abebf6fc30,quiz_questions,acid_base,EL01,下列何者最適合描述「電解質」在水溶液中的主要特徵？,溶於水後可導電的物質,不溶於水的物質,必為金屬單質,必為非金屬單質,A,電解質溶於水可產生可自由移動的離子，因而能導電。,基礎,6e68f9c7-914f-49fe-a8bb-b2d81fed9a3d,986f52e5-4567-4682-a60b-7ab15ab718ce,keep,,,,,,,,
5a6ce8e3-f16e-4627-a49c-367f250eef35,quiz_questions,acid_base,CO03,將 160 公克的 NaOH 溶於水，配成 20 公升的溶液，則莫耳濃度為多少 M？（NaOH 莫耳質量以 40 g／mol 計）,0.4,0.2,4,8,B,n = 160／40 = 4 mol；溶液體積 20 L；M = n／V = 4／20 = 0.2 M。,基礎,d4ed55ef-607e-4edb-8285-44948b3a39ea,73e73b7f-bf8c-426f-a564-23eea3163e9b,keep,,,,,,,,
349816a5-acde-41ed-b52c-c1c6ada48290,quiz_questions,acid_base,EL01,下列何者最適合描述「電解質」在水溶液中的主要特徵？,溶於水後可導電的物質,不溶於水的物質,必為金屬單質,必為非金屬單質,A,電解質溶於水可產生可自由移動的離子，因而能導電。,基礎,37527b77-2a68-4c84-9262-ce10f0be294f,ce2d1536-fabc-4f59-8634-26d319431191,keep,,,,,,,,
f1b4c4c4-7859-487f-b56d-90864e0dbf73,quiz_questions,acid_base,EL01,下列何者最適合描述「電解質」在水溶液中的主要特徵？,溶於水後可導電的物質,不溶於水的物質,必為金屬單質,必為非金屬單質,A,電解質溶於水可產生可自由移動的離子，因而能導電。,基礎,9dcc53ed-b2c1-41c4-994b-2c7f719c5a2c,81065903-57eb-4271-a219-86218c749519,keep,,,,,,,,
5f21c4d3-d193-4672-901c-aa2a3175f6c9,quiz_questions,acid_base,CO03,兩種同溶質、同溶劑的水溶液混合（假設體積可加算），混合後溶質總莫耳數為？,兩者莫耳數相加,取較稀者,取較濃者,必為零,A,未發生化學反應時，溶質莫耳數可加總。,基礎,aa6ddda4-80d3-4785-8393-68115a558019,c86677de-9ea8-4d6e-8964-47ce536a62b8,keep,,,,,,,,
086794eb-9921-48ec-a43e-4d1401ec128d,quiz_questions,acid_base,EL01,下列何者最適合描述「電解質」在水溶液中的主要特徵？,溶於水後可導電的物質,不溶於水的物質,必為金屬單質,必為非金屬單質,A,電解質溶於水可產生可自由移動的離子，因而能導電。,基礎,d15f08fd-25b3-4c39-8f4e-b7f8a4cf7cc2,c5f121b5-a8a1-4b75-b011-bee9155d0fd0,keep,,,,,,,,
f55c478c-ed66-473b-907e-a93de91f299b,quiz_questions,acid_base,EL01,下列何者最適合描述「電解質」在水溶液中的主要特徵？,溶於水後可導電的物質,不溶於水的物質,必為金屬單質,必為非金屬單質,A,電解質溶於水可產生可自由移動的離子，因而能導電。,基礎,3bc128ad-2c68-476d-b4ad-9cb07cddcbef,31cd7012-2fd8-4732-b116-48965c6822f1,keep,,,,,,,,
03252de5-e39c-45ce-8863-7d97fd790d9f,quiz_questions,acid_base,CO03,將 80 公克的 NaOH 溶於水，配成 16 公升的溶液，則莫耳濃度為多少 M？（NaOH 莫耳質量以 40 g／mol 計）,0.2,0.25,0.125,2,C,n = 80／40 = 2 mol；M = 2／16 = 0.125 M。（題型與「質量→莫耳數→M」相同。）,基礎,006e5ef6-d448-4b1e-a439-01a4116f7644,c788459e-343b-4ff2-9d6b-14af4232947d,keep,,,,,,,,
c7dc9ab6-8b43-4c35-abb4-a0f262875f94,quiz_questions,acid_base,EL01,下列何者最適合描述「電解質」在水溶液中的主要特徵？,溶於水後可導電的物質,不溶於水的物質,必為金屬單質,必為非金屬單質,A,電解質溶於水可產生可自由移動的離子，因而能導電。,基礎,42721aaf-a416-49cd-ba96-73c386254969,696b1126-0dd7-474a-9619-832aadb2042e,keep,,,,,,,,
edcd5f66-3d73-4bdf-824f-0713e2cfadea,quiz_questions,acid_base,EL01,下列何者最適合描述「電解質」在水溶液中的主要特徵？,溶於水後可導電的物質,不溶於水的物質,必為金屬單質,必為非金屬單質,A,電解質溶於水可產生可自由移動的離子，因而能導電。,基礎,558a08df-1c45-47ff-902d-5c5faaa263db,e72901bc-734f-4b63-9442-8c285c8b1c0b,keep,,,,,,,,
915eb3e4-4d82-426e-a370-e642a18983a2,quiz_questions,acid_base,EL01,下列何者最適合描述「電解質」在水溶液中的主要特徵？,溶於水後可導電的物質,不溶於水的物質,必為金屬單質,必為非金屬單質,A,電解質溶於水可產生可自由移動的離子，因而能導電。,基礎,0b4216bf-4edc-4d55-a1de-6a52d4344c74,92be7d5a-92f7-4a9a-85ea-35f5094ba94a,keep,,,,,,,,
e5b92186-19ea-4a04-adee-f5a8c2823c2d,quiz_questions,acid_base,EL01,下列何者最適合描述「電解質」在水溶液中的主要特徵？,溶於水後可導電的物質,不溶於水的物質,必為金屬單質,必為非金屬單質,A,電解質溶於水可產生可自由移動的離子，因而能導電。,基礎,4f4529c9-0321-485c-bb56-d6d450a79e5d,cfe52ca6-0ab8-4d19-a585-c2647517a974,keep,,,,,,,,
f0a32c6d-d78f-4528-b647-2b704d40a085,quiz_questions,acid_base,AB05,pH 的定義可用下列何者表示？（以常用定義）,-log₁₀[H⁺],log₁₀[OH⁻],[H⁺]／[OH⁻],10^[H⁺],A,pH = -log[H⁺]（[] 為體積莫耳濃度，以 M 表示）。,基礎,33bfe191-7b4b-49c3-863f-70a453927d0c,035b5867-0622-44d8-a819-a940755c5d74,keep,,,,,,,,
5eba957a-b064-4ba5-9b35-65947be793a7,quiz_questions,acid_base,CO04,將溶液連續多次「取部分再稀釋」時，每次稀釋後濃度變化總趨勢為？,較原濃溶液為低（每次稀釋通常變稀）,一定越來越濃,一定不變,必變為純水,A,多次稀釋等同重複降低濃度，最終遠低於原濃度。,進階,5edcf285-7748-41fb-b154-fa490b2f31f8,86c746c5-8f0c-4985-8f21-3a5ec19ee928,keep,,,,,,,,
491a0193-2b9b-494f-aaa6-55470168b5e0,quiz_questions,acid_base,EL01,下列何者最適合描述「電解質」在水溶液中的主要特徵？,溶於水後可導電的物質,不溶於水的物質,必為金屬單質,必為非金屬單質,A,電解質溶於水可產生可自由移動的離子，因而能導電。,基礎,7e431ffa-217f-49d1-a5af-8e1f0e8d5aaa,3f9ec9f6-9b42-4801-a362-f9f55b4c91fc,keep,,,,,,,,
ae82775d-eddc-456e-bbf7-fbb52017039c,quiz_questions,acid_base,CO01,重量百分濃度敘述溶質所佔比例時，通常以何者為基準？,溶質質量佔全部溶液質量的百分比,溶質體積／溶劑體積,只有溶劑質量,只有溶質莫耳數,A,重量百分濃度 = 溶質質量／溶液總質量 ×100%。,基礎,fd2c374b-9d96-4d0d-a6d4-f541674755c1,a174d9f5-adf5-4ced-a9bf-235a4d922a91,keep,,,,,,,,
f8857143-1377-418a-8383-1d2f62701cc4,quiz_questions,acid_base,CO04,將 0.1 M 水溶液取 100 mL 稀釋至 500 mL（假設體積可加算），稀釋後濃度約為？,0.02 M,0.5 M,0.1 M,1 M,A,稀釋倍數 500／100 = 5，濃度變為 0.1／5 = 0.02 M。,進階,a81939c0-ee8d-47d2-9508-f17c298b1abd,89a95fb9-42ed-4581-a4e2-a94a55e0de78,keep,,,,,,,,
ad20a91d-7209-4636-8a77-5b8e84a58cd5,quiz_questions,acid_base,EL01,下列何者最適合描述「電解質」在水溶液中的主要特徵？,溶於水後可導電的物質,不溶於水的物質,必為金屬單質,必為非金屬單質,A,電解質溶於水可產生可自由移動的離子，因而能導電。,基礎,99b71d06-6ff3-4bbb-bfde-7ec853ff2485,00d86262-5ab3-4d47-be63-414c64622b2c,keep,,,,,,,,
d90d8960-24ec-4d53-9da5-752c0706d626,quiz_questions,acid_base,AB05,以石蕊試紙檢驗未知溶液，呈紅色時，下列敘述何者較合理？,偏酸性,必為純水,必為強鹼,必為中性,A,石蕊在酸性常變紅（課內常見定性描述）。,基礎,f5dd7f66-41d9-48cd-a85e-cdbee8021404,d4d2742f-3012-4165-8453-7a5967a985ad,keep,,,,,,,,
10d3f8d7-b3de-470a-9652-9c430c714870,quiz_questions,acid_base,EL01,下列何者最適合描述「電解質」在水溶液中的主要特徵？,溶於水後可導電的物質,不溶於水的物質,必為金屬單質,必為非金屬單質,A,電解質溶於水可產生可自由移動的離子，因而能導電。,基礎,a3672a70-c702-4c90-8ce8-957985e2716c,f9991b85-ad15-431c-8146-f079c9c33453,keep,,,,,,,,
09c37344-2073-477a-8c4d-08aa135468a2,quiz_questions,acid_base,EL01,關於電解質溶液的敘述，下列何者最適當？,溶液中必存在可移動的離子才可能導電,所有分子溶質皆能導電,導電與溶質是否為分子無關,只有固態才能導電,A,水溶液導電與離子是否存在與可移動有關。,進階,f04a3c96-f43f-4bc7-bae5-464a0c5ff737,17ec85fe-b723-4c98-aa6f-8d1135729788,keep,,,,,,,,
9e198a50-ed79-4816-81f2-f4d0178cc949,quiz_questions,acid_base,EL01,下列何者最適合描述「電解質」在水溶液中的主要特徵？,溶於水後可導電的物質,不溶於水的物質,必為金屬單質,必為非金屬單質,A,電解質溶於水可產生可自由移動的離子，因而能導電。,基礎,89fb0c6a-1c0a-4fbf-a4f4-ec6887fe18b2,5c687384-0f52-4c08-b3ff-416c15049f97,keep,,,,,,,,
7d027c81-070f-41b2-b7ea-dcacb3983d96,quiz_questions,acid_base,AB05,在 25°C 純水中，氫離子濃度 [H⁺] 與氫氧根濃度 [OH⁻] 的關係為何？（不考慮其他溶質）,[H⁺][OH⁻] 為定值（離子積常數）,[H⁺] 必大於 [OH⁻],[H⁺] 必小於 [OH⁻],兩者無固定關係,A,純水中有離子積 Kw = [H⁺][OH⁻]（定溫下為常數）。,基礎,f3ef8be3-a960-454f-9a8e-b3a04da2296f,e30aa374-025f-4938-9265-f35d8bab37f0,keep,,,,,,,,
03950a29-2a3b-477e-a760-63042adc8224,quiz_questions,acid_base,EL01,下列何者最適合描述「電解質」在水溶液中的主要特徵？,溶於水後可導電的物質,不溶於水的物質,必為金屬單質,必為非金屬單質,A,電解質溶於水可產生可自由移動的離子，因而能導電。,基礎,3a30e87c-b1a7-411e-b2c4-99b401339284,5ef092a9-4d7a-4cb9-94dc-80356cd1cc62,keep,,,,,,,,
0dd7d816-8170-4b46-aa42-2a5b60b902e1,quiz_questions,acid_base,EL03,電解質水溶液能導電的主要原因為何？,溶液中有可自由移動的離子,只有水分子碰撞,溶質皆為金屬,與溫度無關,A,離子在電場下移動形成電流。,基礎,0b4216bf-4edc-4d55-a1de-6a52d4344c74,92be7d5a-92f7-4a9a-85ea-35f5094ba94a,keep,,,,,,,,
9b64487a-c0cf-4bfd-b91a-0a9d458e8a73,quiz_questions,acid_base,CO03,將 12.6 公克的硝酸（HNO₃）溶於水中，配成 500 毫升的溶液，則溶液的莫耳濃度為多少 M？（HNO₃ 莫耳質量以 63 g／mol 計）,0.2,0.8,0.4,2,C,n = 12.6／63 = 0.2 mol；500 mL = 0.5 L；M = 0.2／0.5 = 0.4 M。,基礎,d4ed55ef-607e-4edb-8285-44948b3a39ea,73e73b7f-bf8c-426f-a564-23eea3163e9b,keep,,,,,,,,
6b73746e-0df7-4046-b416-330b16fa4ab4,quiz_questions,acid_base,CO04,溶液稀釋過程中，若不考慮揮發或反應，溶質總莫耳數如何變化？,不變,變多,變少,必變為零,A,只加溶劑稀釋，溶質莫耳數守恆。,基礎,a81939c0-ee8d-47d2-9508-f17c298b1abd,89a95fb9-42ed-4581-a4e2-a94a55e0de78,keep,,,,,,,,
3f754552-52d1-4cff-be26-032e3b57301c,quiz_questions,acid_base,CO04,原濃度 C₀，取固定比例稀釋 k 倍（體積變 k 倍），稀釋一次後濃度約為？,C₀／k,C₀×k,C₀,k／C₀,A,溶質莫耳數不變，體積變 k 倍則濃度變為 1／k 倍。,進階,5edcf285-7748-41fb-b154-fa490b2f31f8,86c746c5-8f0c-4985-8f21-3a5ec19ee928,keep,,,,,,,,
392c2089-0478-4ba7-8eb6-e588b37bafdf,quiz_questions,acid_base,AB05,25°C 時純水的 pH 約為多少？,7,0,14,1,A,常溫下純水 [H⁺]≈10⁻⁷ M，故 pH≈7。,基礎,f3ef8be3-a960-454f-9a8e-b3a04da2296f,e30aa374-025f-4938-9265-f35d8bab37f0,keep,,,,,,,,
e87ca33e-39f1-4367-862a-fb030d6260f0,quiz_questions,acid_base,CO03,混合後濃度計算，下列何者為必要資訊？,各杯溶液體積與濃度（或莫耳數）,僅需顏色,僅需溫度,僅需 pH 試紙,A,需由體積與濃度（或莫耳數）求混合後總莫耳數與總體積。,進階,aa6ddda4-80d3-4785-8393-68115a558019,c86677de-9ea8-4d6e-8964-47ce536a62b8,keep,,,,,,,,
